No.,Bangla Emails,Label
42, দুশ্চিন্তার দিন শেষ! আপনার গাড়ীর লাইভ ট্র্যাকিং এর জন্য আজই কল করুন রবি ট্র্যাকার এ - 0961****5555,1
43, নগদ পেমেন্টে ১০% ইনষ্ট্যান্ট ক্যাশব্যাক।,4
44, নববর্ষে MIT সকল কোর্সে ৫০% মূল্য ছাড় ,4
45, নিচের ফরমটি পূরণ করে জিতে নিন এক লক্ষ টাকা htpps://filup.com,0
46, নিচের ফরমটি পূরণ করে জিতে নিন এক লক্ষ টাকা htpps://filup.com,0
47, নিচের ফরমটি পূরণ করে জিতে নিন এক লক্ষ টাকা htpps://filup.com,1
48, নিচের ফরমটি পূরণ করে জিতে নিন এক লক্ষ টাকা htpps://filup.com,1
49, ন্যাশনাল লাইফ ইন্সুরেন্স কোম্পানি লিমিটেড ( সুন্দর ভবিষ্যতের সাথি। ),4
50, প্রথম অর্ডারে আপনি পাবেন ৬০% ডিসকাউন্ট।,0
51, প্রিমিয়াম স্পটেবিজ্ঞাপনপ্রদর্শন করুন!,1
52," প্রিয় সাবস্ক্রাইবার, আপনার মাইক্রোসফট একাউন্ট কম্প্রোমাইজড করা হয়েছে, আপনার অতি দ্রুত আপডেট করা প্রয়োজন নতুবা আপনার অ্যাকাউন্টটি ক্লোজ করা হবে
আপডেট করতে এখানে ক্লিক করুন।",1
53, বরিশাল মার্ট অ্যাপটিতে log in করুন,4
54, বরিশাল মার্ট অ্যাপটিতে log in করুন,4
55, বায়োস্কোপে আপনার পছন্দের মুভি দেখতে ক্লিক করুণ নীচের লিংক এ ,0
56, বিক্রয় অ্যাপ থেকে ফুড পান্ডাতে অর্ডার করলে পাচ্ছেন 10% ডিসকাউন্ট।,1
57, বিক্রয় অ্যাপ দিচ্ছে ঘরে বসে বিশ্বের যেকোন প্রডাক্ট কেনার সুযোগ।,0
58, বিক্রয় অ্যাপটি অন্যকে সাজেশন করে জিতে নিতে পারেন পয়েন্ট জেতার সুযোগ।,4
59, বিক্রয় অ্যাপটি ডাউনলোড করলে পাচ্ছেন 20%  অফ।,1
60, বিক্রয় অ্যাপটি ব্যহাররের জন্য আপনি বিক্রয় ডট কমের পক্ষ থেকে পাচ্ছেন একলক্ষ টাকার উপহার।,1
61, বিক্রয় অ্যাপে 1000/- যে কোন পন্য কিনলে পাচ্ছেন 200/- আপনার পছন্দের যে কোন পন্য ফ্রি।,0
62, বিক্রয় অ্যাপের মধ্যমে বিশ্বের 5টি দেশে পন্য কেনা বেচা করতে পারবেন ঘরে বসেই।,0
63, বিক্রয়অ্যাপে আপনার ভেলিড মেইল আইডির মাধ্যমে একাউন্ট খুলুন সহজেই।,4
64," বিমান বাহিনীতে ৮৭ বাফা কোর্সের নির্বাচনী পরীক্ষার পরিবর্তিত সময়সূচীঃ-১৪, ১৬, ২১, ২৩, ২৪, ২৮, ৩০,৩১ আগস্ট ও ৪, ৬, ৭, ১১, ১২ সেপ্টেম্বর ২০২২।",4
65, বেসিক কোডিং প্রাক্টিস সেট!!এনরোল করুন ,3
66, বোনাস সহ ১.৫জিবি-১৯টাকা-৭দিন। ডায়াল *১২১*৫৪৫০# বা mygp.li/my, 4
67, ব্যবসা বাড়াতে চান? তাহলে pandago ব্যবহার করুন!,1
68, মাহিমা রাহমাণ আপনাকে অনুসরণ করেছেন।,5
69," মোবাইলের উপর আয় কর ধার্য করেছেন সরকার,বাংলাদেশ",0
70," মোবাইলের উপর আয় কর ধার্য করেছেন সরকার,বাংলাদেশ",0
71, সাপ্তাহিক নিউজলেটার ৬ই আগস্ট ,1
72, সাপ্তাহিক বাজার সদাই নিয়ে ভাবছেন? 🛒🛍️,4
73," সাবেক হোয়াইট হাউস কর্মকর্তা জন বোল্টনকে হত্যা করতে চেয়েছিল ইরান!মার্কিন বিচার বিভাগ দাবি করেছে, হোয়াইট হাউসের সাবেক জাতীয় নিরাপত্তা উপদেষ্টা ও জাতিসংঘের সাবেক মার্কিন রাষ্ট্রদূত জন বোল্টনকে হত্যার পরিকল্পনা করেছিল ইরান। দেশটির শীর্ষ গার্ড কমান্ডার কাসেম সোলেইমানিকে হত্যার প্রতিশোধ হিসেবে তাকে হত্যার ষড়যন্ত্র করা হয়েছিল। ইসলামিক বিপ্লবী গার্ড কর্পসের একজন সদস্যের বিরুদ্ধে অভিযোগও এনেছে যুক্তরাষ্ট্র।",2
74," সুইচ ব্যাংকের অর্থের বিষয়ে কেন তথ্য চায় না সরকার, হাইকোর্টের প্রশ্ন",2
75, হেলিকপ্টারে চড়ে পদ্মা সেতু দেখতে চান? MyBL অ্যাপ-এ কুইজ খেলে জিতে নিন এই দুর্দান্ত সুযোগ! ,2
76, হ্যালো! ফারজানা ইসলাম আপনার আবেদনটি দেখা হয়েছে।,0
77, Microsoft অ্যাকাউন্টের পাসওয়ার্ড পরিবর্তন,2
78, Microsoft অ্যাকাউন্টের পাসওয়ার্ড পরিবর্তন,2
79, অ্যাপ দিয়ে টাকা উপার্জন করুন?,1
80, অ্যাপ দিয়ে টাকা উপার্জন করুন?,1
81, আজই শেষ দিন! বোনাস সহ ১৫জিবি-১৭০টাকা-৩০দিন। নিতে ডায়াল *১২১*৫২০৬#, 4
82, আপনাকে নিউজ পাঠানোর অনুমতি দেওয়া হলো।,2
83, আপনার Google আইডি  অন্য কেউ signin করতে চাচ্ছে,2
84, আপনার করোনা ভ‍্যাকসিনের নিবন্ধন সম্পন্ন হয়েছে।,3
85, চুল পড়া বন্ধ করবো কিভাবে? জানতে চাইলে ক্লিক করুন নিচের লিঙ্কে,1
86, জাতির পিতা বঙ্গবন্ধু শেখ মুজিবুর রহমান এর ৪৭তম শাহাদত বার্ষিকীর দোয়া অনুষ্ঠানে যোগদিন।,0
87, দেশি নগদে বেশি লাভ। তাই আজই ন তে নদগে চলে আসুন, 4
88, নির্ধারিত সময়ে কর পরিশোধ করুন।,0
89, বিকাশ থেকে যেকোনো  অনলাইন শপিং  এ থাকছে আর্কষনীয় ক‍্যাশব‍্যাক।,1
90, বিকাশে চলছে দারুণ সব ক‍্যাশব‍্যাক অফার,1
91, মাত্র ৩০ মিনিটে ডেলিভারি প্রতিবার? অবশ্যই সম্ভব,2
92, মাত্র ৩০ মিনিটে ডেলিভারি প্রতিবার? অবশ্যই সম্ভব,2
93, লেটেস্ট Google অ্যাপগুলির মাধ্যমে আপনার Samsung Galaxy Grand Prime সেট-আপ করা শেষ করুন,2
94, শুধু মাত্র টাইপিং-এর কাজ করে কিভাবে অনলাইন থেকে টাকা আয় করা যায়?,4
95, সিটি ব্যাংক নিয়ে এলো 'সিটি ইসলামিক',1
96, সিটি ব্যাংক নিয়ে এলো 'সিটি ইসলামিক',1
97,! ক্যাস আপনার জন্য একটি সারপ্রাইজ আছে,1
98,"""1k"" - এটার পূর্ণরূপ কী?",3
99,"""ICT & Freelancing"" বিষয়ক সেমিনার আগামীকাল মঙ্গলবার (14th Sept) বিকাল ৩ টায় শুরু হবে। Visit UGV Facebook page or google meet link to join the class: https://bit.ly/3hnQHZh ধন্যবাদ ইউজিভি, বরিশাল",0
100,"""Lenovo lenovo k4 note Original"" প্রকাশ করা যাবে না",0
101,"""PHP এবং MySQL সহ ওয়েব ডাটাবেস অ্যাপ্লিকেশন"" Gayan Rathnasekara দ্বারা",3
102,"""PHP এবং MySQL সহ ওয়েব ডাটাবেস অ্যাপ্লিকেশন"" Gayan Rathnasekara দ্বারা",3
103,"""PHP এবং MySQL সহ ওয়েব ডাটাবেস অ্যাপ্লিকেশন"" Gayan Rathnasekara দ্বারা",3
104,"""অভিনন্দন, আপনি এই বছর আমাদের কোম্পানি থেকে সবচেয়ে বড় অফার পাওয়ার যোগ্যতা অর্জন করেছেন। আপনি পাচ্ছেন আমাদের কোম্পানির তরফ থেকে ২ কোটি টাকার বিনা সুদে ঋণ, আপনি আজই আবেদন প্রক্রিয়া সম্পন্ন করার জন্য এই লিংক অনুসরণ করুন।""",1
105,"""আপনার ফেসবুক আইডি থেকে কোম্পানির পলিসি ভঙ্গের কারণে অ্যাকাউন্ট ডিসেবল করা হয়েছে, অ্যাকাউন্টটি ফিরে পেতে আপনার পাসওয়ার্ড সাবমিট করুন এই লিংকে।""",1
106,"""আমাদের নতুন ওয়েবসাইট চালু করার ঘোষণা দিতে পেরে আমরা গর্বিত!! বাংলাদেশের সবচেয়ে বড় কর্পোরেট, সেরা নেতৃস্থানীয় এবং সুবিধাজনক চাকরির সাইট। আপনি আমাদের সাইটে যে কোনো সুবিধাজনক চাকরি খুঁজে পাবেন। আজই ভিজিট করুন www.jobwage.com.bd বা www.jobwagebd.com ",1
107,"""আমি কিভাবে C++ এ একটি BMI ক্যালকুলেটর তৈরি করব?"" এর সাথে সম্পর্কিত আরও",4
108,"""ওয়েব ভিত্তিক বাইবেল লাইব্রেরি ইনফরমেশন সিস্টেম লেমবাগা আলকিতাব ইন্দোনেশিয়া -জাকার্তা EL Makoto  দ্বারা",3
109,"""ওয়েব ভিত্তিক বাইবেল লাইব্রেরি ইনফরমেশন সিস্টেম লেমবাগা আলকিতাব ইন্দোনেশিয়া -জাকার্তা EL Makoto  দ্বারা",3
110,"""ওয়েব ভিত্তিক বাইবেল লাইব্রেরি ইনফরমেশন সিস্টেম লেমবাগা আলকিতাব ইন্দোনেশিয়া -জাকার্তা EL Makoto  দ্বারা",3
111,"""কর্মজীবনের কর্মশালা"" বিষয়ক কর্মসূচীতে অংশগ্রহণের সময় ও নিয়ম-কানুন প্রসঙ্গে।",3
112,"""কোথাও যাওয়ার রাস্তা অজুহাত দিয়ে পাকা করা হয় না""",0
113,"""কোথাও যাওয়ার রাস্তা অজুহাত দিয়ে পাকা করা হয় না""",0
114,"""কোথাও যাওয়ার রাস্তা অজুহাত দিয়ে পাকা করা হয় না""",0
115,"""গুগলের ভিডিও কলিং অ্যাপ্লিকেশন গুগল মিট এর কিছু টেকনিকাল ত্রুটি দেখা দেয়ায় ইউজারদের ব্যাক্তিগত তথ্য ফাঁস হয়ে যাওয়ার সম্ভাবনা দেখা দিয়েছে, এমতাবস্থায় উক্ত সমস্যা থেকে আপনার অ্যাকাউন্টটি সুরক্ষিত রাখতে এই ফর্মটি পূরণ করুন।""",1
116,"""প্রমোশনাল এসমএস না চাইলে *৭# ডায়াল করে চালু করুন ডু নট ডিসটার্ব সেবা, অন্যথায় চালু না করার অনুরোধ করা হলো : বিটিআরসি""",0
117,"""বস্ত্র, সিমেন্ট এবং সিরামিক খাতের শেয়ারদর বেড়েছে""",3
118,"""বিদেশী স্কুলে ভর্তির বয়স: 5 থেকে 17 কানাডা ইউএসএ ইউকে এবং অস্ট্রেলিয়া অভিভাবকরা কাজের সুযোগের সাথে আবেদন করতে পারেন। যোগাযোগ: 01720557159 / 01720557112""",1
119,"""সীমিত সময়ের জন্য অফার! NCL10 কোর্ডটি ব্যবহার করে 10% ছাড়ে কিনুন আপনাদের পছন্দের যে কোনো পন্য",0
120,"""হ্যালো স্যার
আপনি আমাদের নিয়মিত গ্রাহক আপনি আমাদের কাছ থেকে যেসব পণ্য কিনবেন।
সেগুলোর টাকা যদি আগে পেমেন্ট করেন ২০% ডিসকাউন্ট পাবেন।
আপনি এখন যদি ৫০০০ টাকা পেমেন্ট করেন তাহলে ৩০% ডিসকাউন্ট পাবেন।""",1
121,"""👇 চাকরির বাজারে কোন প্রশিক্ষণের চাহিদা সবচেয়ে বেশি তা খুঁজে বের করুন 👇 আমরা অনলাইন এবং অফলাইন কোর্স অফার করছি""",1
122,$10 সাইন আপ বোনাস - আমাদের চেষ্টা করুন,4
123,$10 সাইন আপ বোনাস - আমাদের চেষ্টা করুন,2
124,$15- লাইভ 2-দিনের কর্মশালায় নেমে গেছে,4
125,$15- লাইভ 2-দিনের কর্মশালায় নেমে গেছে,4
126,$21 এ বুক করুন। Azure-এ ML-এ লাইভ সেশন। শুধু মাত্র আজ,2
127,$4 থেকে সস্তা গাড়ি ভাড়া,1
128,$449 - সর্বকালের সর্বনিম্ন মূল্যে আজীবন সদস্যতা [৩১শে মে শেষ হবে],2
129,$500 অ্যামাজন গিফট কার্ড রাফেল!,1
130,(ইউরি অনলাইন জাজে) আপনাকে স্বাগতম!,3
131,(কোন বিষয় নেই),0
132,(কোন বিষয় নেই),1
133,****** থেকে আপনার 1 টি মিসড কল আছে 00:57:08 - এ। দয়া করে কল করুন।,3
134,*217*17518# ডায়াল করের জানুন চাকুরীর খবর,1
135,*৫০০ টাকার দারাজ ভাউচার জিতুন এখনই!,4
136,*৬# ডায়াল করলেই পাবেন ঈদের আকর্ষণীয় ইন্টারনেট অফার।,4
137,*৬# ডায়াল করলেই পাবেন ঈদের আকর্ষণীয় ইন্টারনেট অফার।,4
138,"*শুধুমাত্র সর্বনিম্ন Tk 360 এর pandamart অর্ডারের জন্য, 20/07/2022 পর্যন্ত। ডেলিভারির সময় ভিন্ন হতে পারে।
",2
139,", আপনার নতুন Facebook গ্রুপ শুরু করার জন্য অভিনন্দন",2
140,/Hi..আমি ইভা বলছি! আমার চাই শুধু একটা তুমি। কথা বলবা? এখনি ডায়াল করো 23690100252308,2
141,/বাংলালিংক-এ ৫৯পঃ/মিঃ(+ট্যাক্স) ৭দিন মেয়াদে পেতে রিচার্জ ২১টাকা,1
142,: Wordbank LLC ফ্রিল্যান্স ইমেল বিকাশকারীর জন্য নিয়োগ করছে৷ মার্কিন যুক্তরাষ্ট্রে আরও 3টি ফ্রিল্যান্স চাকরি।,2
143,: অপরাজেয় দামে সবচেয়ে বেশি বিক্রি হওয়া আইটেম? আমরা এটা সব অধিকার এখানে পেয়েছেন,2
144,: আমাদের ফুলস্ট্যাক জাভাস্ক্রিপ্ট ই-ডিগ্রীতে ফ্ল্যাট 50% ছাড় পান,2
145,: দুবাইতে 17000 AED বেতন কি যথেষ্ট?,2
146,: নিরাপত্তা সতর্কীকরণ,2
147,: যেকোনো অনলাইন কোর্স কিনুন এবং 50% ছাড়ে অন্যটি পান*,2
148,: লাইফটাইম পাসে $650 ছাড় (48 ঘণ্টার মধ্যে শেষ হয়),2
149,: শেষ সুযোগ- আজীবন পাসে অতিরিক্ত 60% ছাড়,2
150,"@জাহিদুল80752171, আমরা দেখতে পাচ্ছি আপনি নতুন",5
151,[২০% ছাড়] MERN স্ট্যাক ই-ডিগ্রী - এখনই প্রি-বুক করুন,4
152,[48 ঘন্টার জন্য সর্বনিম্ন মূল্য] বেস্টসেলার ই-ডিগ্রী,2
153,"[Bohubrihi] 50% ছাড় যেকোনো কোর্সে, ১৩ আগস্ট পর্যন্ত,",2
154,[Bohubrihi] 70% ছাড় (যেকোনো কোর্সে) জেতার সুযোগ শেষ হচ্ছে আজ! win70 কুপন এখনই ইউজ করতে ক্লিক https://cutt.ly/SL7K1OG,4
155,[CPAFfull] দৈনিক আপডেট 09|AUG,3
156,[CPAFfull] দৈনিক আপডেট 09|AUG,2
157,[EduHive] বিসিএস প্রিলি লাইভ কোর্স মাত্র ৩৫০০ টাকায় প্রোমো: JOB30 (৭ জুন পর্যন্ত) ,0
158,[EduHive] মাত্র ৯৪৫ টাকায় সাবস্ক্রিপশনের আজই শেষ দিন। প্রোমোঃ WC55 লিঙ্কঃ go.eduhive.link/subscription,4
159,[EduHive] মাত্র ৯৪৫ টাকায় সাবস্ক্রিপশনের আজই শেষ দিন। প্রোমোঃ WC55 লিঙ্কঃ go.eduhive.link/subscription,4
160,[GitHub] অনুগ্রহ করে আপনার ডিভাইস যাচাই করুন,3
161,[GitHub] অনুগ্রহ করে আপনার ডিভাইস যাচাই করুন,3
162,[GitHub] অনুগ্রহ করে আপনার পাসওয়ার্ড রিসেট করুন,2
163,[GitHub] আপনার অ্যাকাউন্টে একটি ব্যক্তিগত অ্যাক্সেস টোকেন যোগ করা হয়েছে,3
164,[GitHub] আপনার ইমেল ঠিকানা যাচাই করুন.,3
165,[GitHub] আপনার ইমেল ঠিকানা যাচাই করুন.,2
166,[GitHub] আপনার পাসওয়ার্ড পুনরায় সেট করা হয়েছে,2
167,[GitHub] একটি তৃতীয় পক্ষের OAuth অ্যাপ্লিকেশন আপনার অ্যাকাউন্টে যোগ করা হয়েছে,3
168,[GitHub] একটি তৃতীয় পক্ষের OAuth অ্যাপ্লিকেশন আপনার অ্যাকাউন্টে যোগ করা হয়েছে,3
169,[GitHub] একটি ব্যক্তিগত অ্যাক্সেস টোকেন অতিরিক্ত সুযোগ মঞ্জুর করা হয়েছে,3
170,[IBBL iBanking] রেজিস্ট্রেশনের প্রমাণীকরণ ফর্ম অনুমোদনের জন্য গৃহীত।,3
171,[Ionicware] Re: আমি লগ ইন করতে পারছি না।,3
172,[অনুরোধ পেয়েছি],3
173,[অনুস্মারক] 3 সপ্তাহ বাকি - আমাদের সেল শীঘ্রই শেষ হবে!,3
174,[আজকের অফার] ট্রেন্ডিং স্কিল বান্ডেল - ফ্ল্যাট $19✔✔,2
175,"[আপডেট] Google ড্রাইভের ট্র্যাশ আইটেমগুলি 13 অক্টোবর, 2020 থেকে 30 দিন পরে স্বয়ংক্রিয়ভাবে মুছে ফেলা হবে",2
176,[আপডেট] আপনার উন্নত ওয়ার্কআউট প্ল্যান আপডেট করা হয়েছে 💪,4
177,[ইউআরআই অনলাইন জজ] আপনার অ্যাকাউন্ট সক্রিয় করুন!,3
178,[ইউআরআই অনলাইন বিচারকের অবস্থা] আপনার সদস্যতা নিশ্চিত করুন,3
179,[ইউআরআই অনলাইন বিচারকের অবস্থা] আপনার সদস্যতা নিশ্চিত করুন,2
180,[ইব্রাহিমখালিল/স্প্যাম-সনাক্তকরণ] জ্যাঙ্গো সিক্রেট কী GitHub এ উন্মোচিত হয়েছে,3
181,[ওয়েবিনার] ProspectNow দিয়ে এখনই আরও বেশি অর্থ উপার্জন করুন,0
182,[ওয়েবিনার] ProspectNow দিয়ে এখনই আরও বেশি অর্থ উপার্জন করুন,1
183,[ওয়েভার্স অ্যাকাউন্ট] অনুগ্রহ করে আপনার পাসওয়ার্ড রিসেট করুন,2
184,[ওয়েভার্স অ্যাকাউন্ট] অনুগ্রহ করে আপনার পাসওয়ার্ড রিসেট করুন,2
185,[ওয়েভার্স অ্যাকাউন্ট] অনুগ্রহ করে আপনার পাসওয়ার্ড রিসেট করুন।,3
186,[ওয়েভার্স অ্যাকাউন্ট] অনুগ্রহ করে আপনার পাসওয়ার্ড রিসেট করুন।,2
187,[কাকাও] কাকাও অ্যাকাউন্ট ইমেল নিবন্ধন,3
188,[গুরুত্বপূর্ণ বিজ্ঞপ্তি] আপনার জিরা সদস্যতা নিষ্ক্রিয় করা হচ্ছে! আপনার সদস্যতা নিষ্ক্রিয় করা হচ্ছে,3
189,[চাকরি] একটি সতর্কতা তৈরি করুন যাতে আপনি মিস না করেন,2
190,[চাকরি] একটি সতর্কতা তৈরি করুন যাতে আপনি মিস না করেন,2
191,[চাকরি] কিভাবে সেরা সুযোগ দেখতে,2
192,[চাকরি] কিভাবে সেরা সুযোগ দেখতে,2
193,[চাকরি] কিভাবে সেরা সুযোগ দেখতে,2
194,[চাকরি] ফিচার রিক্যাপ + চাকরি আপনার পছন্দ হতে পারে,2
195,[পর্ব 3] কীভাবে একটি বাধ্যতামূলক ব্যবসায়িক পরিকল্পনা লিখবেন (3টির মধ্যে 1),1
196,[পর্ব 3] কীভাবে একটি বাধ্যতামূলক ব্যবসায়িক পরিকল্পনা লিখবেন (3টির মধ্যে 1),1
197,[পর্ব 4] কীভাবে আপনার নতুন ব্যবসায় অর্থায়ন করবেন (৩টির মধ্যে 2,1
198,[পর্ব 4] কীভাবে আপনার নতুন ব্যবসায় অর্থায়ন করবেন (৩টির মধ্যে 2,1
199,[প্রতিযোগিতা] SAP ল্যাবস ল্যাটিন আমেরিকা 3য় অনলাইন কোডিং প্রতিযোগিতা,1
200,[প্রতিযোগিতার রিপ্লে] কনটেস্ট ডি ফেরিয়াস IFSULDEMINAS - রিপ্লে কনটেস্ট #1 @ URI অনলাইন বিচারক,3
201,[প্রতিযোগিতার রিপ্লে] কনটেস্ট ডি ফেরিয়াস IFSULDEMINAS - রিপ্লে প্রতিযোগিতা #1 @ URI অনলাইন বিচারক,3
202,[প্রতিযোগিতার রিপ্লে] মারাটোনা PUC - Goiás JCECEC 2019 @ URI অনলাইন জজ,3
203,[বর্ধিত] 50% পর্যন্ত ছাড়- দুর্দান্ত শিক্ষা বিক্রয়!,4
204,[মনি আকতার] আরিফুল ইসলামের নতুন বার্তা,5
205,[মনি আকতার] এম আলী মফরের নতুন বার্তা,5
206,[মাত্র ৫৩৩টি কুপন বাকি! তাড়াতাড়ি করুন এবং 50% বাঁচান!],4
207,[মেরি ক্রিসমাস] সান্তা আপনার জন্য সমৃদ্ধ ক্যারিয়ার আনুক!,2
208,[লাইভ প্রশিক্ষণ] জিসিপি ব্যবহার করে অ্যান্ড্রয়েড অ্যাপ তৈরি,2
209,[লিমিটেড টাইম অফার] পাইথন মিনি ই-ডিগ্রী মাত্র 21 ডলারে,2
210,[শেষ সুযোগ - $99] লাইভ MERN স্ট্যাক [মূল্য বৃদ্ধি শীঘ্রই,2
211,[সময়সীমার কাছাকাছি] জুলাইয়ের কাগল এমএল গবেষণা স্পটলাইট বিবেচনার জন্য আপনার নোটবুক জমা দিন,2
212,[স্ট্যাক স্কুল প্রিমিয়াম কোর্স] সাপ্তাহিক অগ্রগতি অনুস্মারক হাই মো. শফিকুল! দেখে মনে হচ্ছে আপনি আপনার স্ট্যাক স্কুল প্রিমিয়াম কোর্স কোর্সে অগ্রগতি করছেন!,3
213,_ইসলাম_রাকিব_ তোমাকে ফলো করা শুরু করেছে,5
214,‘‘৪ মাস আগে কোভিড ভ্যাকসিনের ২য় ডোজ নিয়ে থাকলে নিকটস্থ টিকা কেন্দ্রে কোভিড ভ্যাকসিনের তৃতীয় বা বুস্টার ডোজ গ্রহণ করুন।,3
215,"‘‘৪ মাস আগে কোভিড ভ্যাকসিনের ২য় ডোজ নিয়ে থাকলে নিকটস্থ টিকা কেন্দ্রে কোভিড ভ্যাকসিনের তৃতীয় বা বুস্টার ডোজ গ্রহণ করুন।""",3
